Timestamp,Gate Voltage (V),Drain Voltage (V),Current Limit (A),Gate Current (A),Drain Current (A)
2025-04-21 18:44:16.813949,0.0,10.0,-1.573854e-11,1.002203e-05,0.001
2025-04-21 18:44:17.244818,0.0,10.0,-4.860833e-11,1.002662e-05,0.001
2025-04-21 18:44:17.655486,0.0,10.0,-7.770302e-11,1.004021e-05,0.001
2025-04-21 18:44:18.100163,0.0,10.0,-3.119155e-11,1.003326e-05,0.001
2025-04-21 18:44:18.497386,0.0,10.0,-5.701461e-11,1.003896e-05,0.001
2025-04-21 18:44:18.913326,0.0,10.0,-2.520149e-11,1.00528e-05,0.001
2025-04-21 18:44:19.327506,0.0,10.0,5.376677e-11,1.003458e-05,0.001
2025-04-21 18:44:19.740754,0.0,10.0,-2.570487e-11,1.00403e-05,0.001
2025-04-21 18:44:20.155171,0.0,10.0,-1.684579e-11,1.00374e-05,0.001
2025-04-21 18:44:20.579454,0.0,10.0,-7.820663e-11,1.00411e-05,0.001
2025-04-21 18:44:20.993113,0.0,10.0,2.782802e-12,1.004535e-05,0.001
2025-04-21 18:44:21.408624,0.0,10.0,-1.072509e-10,1.005129e-05,0.001
2025-04-21 18:44:21.822122,0.0,10.0,-1.130953e-11,1.004962e-05,0.001
2025-04-21 18:44:22.217907,0.0,10.0,-2.862442e-11,1.005921e-05,0.001
2025-04-21 18:44:22.650375,0.0,10.0,-2.958082e-11,1.005703e-05,0.001
2025-04-21 18:44:23.065043,0.0,10.0,-2.731564e-11,1.006675e-05,0.001
2025-04-21 18:44:23.480895,0.0,10.0,-5.515211e-11,1.006973e-05,0.001
2025-04-21 18:44:23.890848,0.0,10.0,-1.02526e-11,1.007615e-05,0.001
2025-04-21 18:44:24.320413,0.0,10.0,-9.246001e-12,1.007641e-05,0.001
2025-04-21 18:44:24.766016,0.0,10.0,-5.219642e-12,1.007889e-05,0.001
2025-04-21 18:44:25.182899,0.0,10.0,1.524629e-12,1.007526e-05,0.001
2025-04-21 18:44:25.577317,0.0,10.0,-5.575598e-11,1.007711e-05,0.001
2025-04-21 18:44:25.993034,0.0,10.0,-3.239972e-11,1.00828e-05,0.001
2025-04-21 18:44:26.406927,0.0,10.0,1.34527e-11,1.007268e-05,0.001
2025-04-21 18:44:26.833311,0.0,10.0,-1.755041e-11,1.007932e-05,0.001
2025-04-21 18:44:27.232726,0.0,10.0,-4.931295e-11,1.00895e-05,0.001
2025-04-21 18:44:27.644366,0.0,10.0,-6.290392e-11,1.009471e-05,0.001
2025-04-21 18:44:28.060980,0.0,10.0,-2.052013e-11,1.008465e-05,0.001
2025-04-21 18:44:28.471224,0.0,10.0,-2.540282e-11,1.009258e-05,0.001
2025-04-21 18:44:28.884352,0.0,10.0,-4.619201e-11,1.009112e-05,0.001
2025-04-21 18:44:29.297345,0.0,10.0,-7.62938e-11,1.009632e-05,0.001
2025-04-21 18:44:29.708488,0.0,10.0,2.663529e-13,1.009266e-05,0.001
2025-04-21 18:44:30.125368,0.0,10.0,-5.671274e-11,1.009277e-05,0.001
2025-04-21 18:44:30.553399,0.0,10.0,-2.263428e-11,1.009356e-05,0.001
2025-04-21 18:44:30.966966,0.0,10.0,-3.904422e-11,1.009837e-05,0.001
2025-04-21 18:44:31.396765,0.0,10.0,-3.307092e-12,1.009471e-05,0.001
2025-04-21 18:44:31.797289,0.0,10.0,-1.800338e-11,1.009564e-05,0.001
2025-04-21 18:44:32.216667,0.0,10.0,-5.827309e-11,1.009377e-05,0.001
2025-04-21 18:44:32.626361,0.0,10.0,-4.156107e-11,1.01e-05,0.001
2025-04-21 18:44:33.040491,0.0,10.0,-7.585123e-12,1.010574e-05,0.001
2025-04-21 18:44:33.458311,0.0,10.0,-8.390333e-12,1.010199e-05,0.001
2025-04-21 18:44:33.861384,0.0,10.0,-1.397699e-11,1.010108e-05,0.001
2025-04-21 18:44:34.289727,0.0,10.0,-2.983245e-11,1.010561e-05,0.001
2025-04-21 18:44:34.801127,0.0,100.0,-1.542154e-10,1.423849e-05,0.001
2025-04-21 18:44:35.225623,0.0,100.0,-1.39417e-10,1.423355e-05,0.001
2025-04-21 18:44:35.641284,0.0,100.0,-9.98008e-11,1.423155e-05,0.001
2025-04-21 18:44:36.051752,0.0,100.0,-7.996815e-11,1.42401e-05,0.001
2025-04-21 18:44:36.452682,0.0,100.0,-5.414523e-11,1.422726e-05,0.001
2025-04-21 18:44:36.866824,0.0,100.0,-5.948101e-11,1.422728e-05,0.001
2025-04-21 18:44:37.296371,0.0,100.0,-5.258463e-11,1.420844e-05,0.001
